time,Unnamed: 0,temperature_2m,relative_humidity_2m,precipitation,surface_pressure
2022-01-31,371.5,19.1,92.0,0.1,908.7
2022-02-28,1079.5,19.1,92.0,0.0,909.2
2022-03-31,1787.5,19.8,84.0,0.0,910.1
2022-04-30,2519.5,18.45,83.0,0.0,911.3
2022-05-31,3251.5,14.8,79.0,0.0,912.4
2022-06-30,3983.5,15.4,73.0,0.0,913.1
2022-07-31,4715.5,15.850000000000001,59.0,0.0,914.4
2022-08-31,5459.5,16.7,56.0,0.0,914.0
2022-09-30,6191.5,18.6,61.0,0.0,912.3
2022-10-31,6923.5,19.8,72.0,0.0,910.7
2022-11-30,7655.5,18.8,78.0,0.0,910.8
2022-12-31,8387.5,20.4,86.0,0.0,910.5
2023-01-31,9131.5,20.5,88.0,0.1,911.8
2023-02-28,9839.5,21.8,86.0,0.0,912.6
2023-03-31,10547.5,21.65,82.0,0.0,913.4
2023-04-30,11279.5,19.7,81.0,0.0,912.8
2023-05-31,12011.5,17.3,76.0,0.0,914.8
2023-06-30,12743.5,15.8,78.0,0.0,916.1
2023-07-31,13475.5,16.7,72.0,0.0,916.5
2023-08-31,14219.5,18.8,69.5,0.0,915.3
2023-09-30,14951.5,23.0,60.0,0.0,914.25
2023-10-31,15683.5,22.6,80.0,0.0,912.2
2023-11-30,16415.5,23.9,71.5,0.0,911.5
2023-12-31,17147.5,23.3,76.0,0.0,911.8
